################################
##########2016-09-15############
黄河                          ,府谷                          ,807.77,867,-,
黄河                          ,吴堡                          ,636.99,507,-,
黄河                          ,龙门                          ,380.22,568,-,
汾河                          ,河津                          ,372.44,36.9,-,
北洛河                        ,状头                          ,361.4,2.34,-,
泾河                          ,张家山                        ,420.26,2.02,-,
渭河                          ,咸阳                          ,381.19,28.9,-,
渭河                          ,华县                          ,335.51,58.8,-,
黄河                          ,潼关                          ,327.26,850,-,
黄河                          ,史家滩蓄水量,304.35,(0.449)亿,-,
黄河                          ,三门峡                        ,275.05,784,4.10,
黄河                          ,小浪底上蓄水量,246.61,(34.2)亿,-,
黄河                          ,小浪底                        ,134.52,398,-,
伊河                          ,东湾                          ,2.8,5.05,-,
伊河                          ,陆浑坝上蓄水量,313.07,(4.28)亿,-,
伊河                          ,陆浑坝上出库,-,-,-,
伊河                          ,龙门镇                        ,148.6,11,-,
洛河                          ,卢氏                          ,6.18,1.41,-,
洛河                          ,故县水库蓄水量,523.09,(4.53)亿,-,
洛河                          ,故县水库出库,-,-,-,
洛河                          ,长水                          ,90.5,1.52,-,
洛河                          ,白马寺                        ,7.86,29.5,-,
伊洛河                        ,黑石关                        ,105.36,25.6,-,
丹河                          ,山路坪                        ,-,-,-,
沁河                          ,五龙口                        ,141.85,16.3,-,
沁河                          ,武陟                          ,100.13,11.2,-,
黄河                          ,花园口                        ,88.99,370,-,
黄河                          ,夹河滩                        ,72.36,325,-,
黄河                          ,高村                          ,58.98,325,0.371,
黄河                          ,孙口                          ,44.43,273,0.380,
大清河                        ,戴村坝,-,-,-,
东平湖                        ,东平湖老湖蓄水量,42.51,(4.91)亿,-,
东平湖                        ,出湖闸,-,-,-,
黄河                          ,艾山                          ,36.78,276,0.724,
黄河                          ,泺口                          ,25.88,228,0.528,
黄河                          ,利津                          ,10.1,128,0.219,

################################
##########2016-09-18############
黄河                          ,唐乃亥                        ,2515.57,658,-,
黄河                          ,龙羊峡入库,-,578,-,
黄河                          ,龙羊峡蓄水量,2572.74,(153)亿,-,
黄河                          ,龙羊峡出库,-,335,-,
黄河                          ,刘家峡入库,-,642,-,
黄河                          ,刘家峡蓄水量,1728.45,(32.2)亿,-,
黄河                          ,刘家峡出库,-,299,-,
黄河                          ,兰州                          ,1512.2,875,-,
黄河                          ,下河沿                        ,1230.62,659,-,
黄河                          ,石嘴山                        ,1087.36,850,-,
黄河                          ,巴彦高勒                      ,1051.1,869,-,
黄河                          ,三湖河口                      ,1019.08,915,-,
黄河                          ,包头                          ,1002.85,899,-,
黄河                          ,头道拐                        ,987.18,818,-,
黄河                          ,万家寨蓄水量,970.6,(2.10)亿,-,
黄河                          ,万家寨上出库,-,503,-,
黄河                          ,万家寨下                      ,898.99,503,-,
黄河                          ,府谷                          ,807.72,835,-,
黄河                          ,吴堡                          ,637.42,785,-,
黄河                          ,龙门                          ,380.25,584,-,
汾河                          ,河津                          ,372.51,38.2,-,
北洛河                        ,状头                          ,361.41,2.54,-,
泾河                          ,张家山                        ,420.26,2.02,-,
渭河                          ,咸阳                          ,381.15,26,-,
渭河                          ,华县                          ,335.52,60,-,
黄河                          ,潼关                          ,327.05,630,-,
黄河                          ,史家滩蓄水量,304.82,(0.486)亿,-,
黄河                          ,三门峡                        ,275.07,795,4.04,
黄河                          ,小浪底上蓄水量,246.89,(34.7)亿,-,
黄河                          ,小浪底                        ,134.35,271,-,
伊河                          ,东湾                          ,2.77,4.25,-,
伊河                          ,陆浑坝上蓄水量,313.06,(4.28)亿,-,
伊河                          ,陆浑坝上出库,-,-,-,
伊河                          ,龙门镇                        ,148.6,11,-,
洛河                          ,卢氏                          ,6.17,1.29,-,
洛河                          ,故县水库蓄水量,523.16,(4.54)亿,-,
洛河                          ,故县水库出库,-,-,-,
洛河                          ,长水                          ,90.5,1.52,-,
洛河                          ,白马寺                        ,7.81,26.8,-,
伊洛河                        ,黑石关                        ,105.34,24.6,-,
丹河                          ,山路坪                        ,-,-,-,
沁河                          ,五龙口                        ,141.85,16.3,-,
沁河                          ,武陟                          ,100.16,11.9,-,
黄河                          ,花园口                        ,88.99,370,-,
黄河                          ,夹河滩                        ,72.32,310,-,
黄河                          ,高村                          ,58.96,310,0.429,
黄河                          ,孙口                          ,44.44,276,0.350,
大清河                        ,戴村坝,-,-,-,
东平湖                        ,东平湖老湖蓄水量,42.5,(4.89)亿,-,
东平湖                        ,出湖闸,-,-,-,
黄河                          ,艾山                          ,36.8,284,0.947,
黄河                          ,泺口                          ,25.88,228,0.910,
黄河                          ,利津                          ,9.99,116,0.160,

################################
##########2016-09-19############
黄河                          ,唐乃亥                        ,2515.65,690,-,
黄河                          ,龙羊峡入库,-,629,-,
黄河                          ,龙羊峡蓄水量,2572.82,(154)亿,-,
黄河                          ,龙羊峡出库,-,351,-,
黄河                          ,刘家峡入库,-,720,-,
黄河                          ,刘家峡蓄水量,1728.74,(32.6)亿,-,
